campaign_name,channel,city,audience_segment,spend_aud,revenue_aud,impressions,clicks,leads,conversions,ctr_pct,conversion_rate_pct,cpa_aud,roas,aov_aud
Early Bird - Google Search,Google Search,Bangalore,Corporate Buyers,2522.2,38339.880000000005,60941,2897,496,149,4.7537782445315955,5.1432516396272,16.92751677852349,15.200967409404491,257.31463087248324
Last Mile Sales - Retargeting,Retargeting,Bangalore,Premium Experience Seekers,1162.07,37920.18,30121,2569,427,111,8.5289333023472,4.32074737251849,10.469099099099099,32.63157985319301,341.6232432432432
Early Bird - Google Search,Google Search,Melbourne,Students,3993.56,37280.63,91721,5218,823,171,5.688991615878589,3.2771176696052127,23.354152046783625,9.335187151313614,218.01538011695905
Last Mile Sales - Retargeting,Retargeting,Bangalore,Corporate Buyers,940.35,36269.97,19001,1696,320,114,8.925846008104836,6.721698113207547,8.248684210526315,38.57071303238156,318.15763157894736
Weekend Boost - Google Search,Google Search,Bangalore,Premium Experience Seekers,1506.45,34435.97,35926,2354,470,81,6.552357624004899,3.4409515717926933,18.598148148148148,22.859019549271466,425.1354320987654
Weekend Boost - Google Search,Google Search,Melbourne,Premium Experience Seekers,4612.65,34147.56,83244,3777,737,93,4.537263946951132,2.4622716441620334,49.59838709677419,7.4030242918929465,367.178064516129
VIP Upgrade - Google Search,Google Search,Bangalore,Music Enthusiasts,1522.87,32361.77,30327,1899,429,90,6.261746958156099,4.739336492890995,16.920777777777776,21.250513832434812,359.57522222222224
Weekend Boost - Google Search,Google Search,Melbourne,Corporate Buyers,2550.0699999999997,31797.98,52056,3305,568,86,6.3489319194713385,2.6021180030257187,29.651976744186044,12.469453779700167,369.7439534883721
VIP Upgrade - Google Search,Google Search,Melbourne,Music Enthusiasts,1916.77,31012.14,38608,2641,466,101,6.840551181102363,3.824308973873533,18.977920792079207,16.179374677191316,307.0508910891089
Corporate Outreach - Retargeting,Retargeting,Melbourne,Music Enthusiasts,773.57,29826.03,21857,1932,219,104,8.839273459303655,5.383022774327122,7.438173076923078,38.556342670992926,286.78875
Last Mile Sales - Google Search,Google Search,Sydney,Corporate Buyers,1388.77,28725.0,28934,1829,359,66,6.321282919748393,3.608529250956807,21.041969696969698,20.68377053075743,435.22727272727275
Weekend Boost - Google Search,Google Search,Mumbai,Premium Experience Seekers,1080.25,28313.93,29762,1547,157,57,5.197903366709227,3.684550743374273,18.95175438596491,26.210534598472577,496.73561403508774
VIP Upgrade - Google Search,Google Search,Mumbai,Premium Experience Seekers,1005.43,27415.06,23280,1389,301,46,5.966494845360825,3.311735061195104,21.85717391304348,27.267000188973874,595.9795652173914
Festival Push - Google Search,Google Search,Bangalore,Corporate Buyers,891.19,26931.28,21449,1208,161,55,5.631964194134924,4.5529801324503305,16.203454545454548,30.219459374544147,489.65963636363637
