campaign_id,date,campaign_name,channel,city,audience_segment,objective,spend_aud,impressions,clicks,leads,conversions,revenue_aud,customer_rating,ctr_pct,cpc_aud,conversion_rate_pct,cpa_aud,roas,aov_aud,year_week
CMP-0289,2025-01-01,Festival Push - Influencer,Influencer,Bangalore,Corporate Buyers,Ticket Sales,635.94,14296,478,85,6,1744.69,4.39,3.343592613318411,1.330418410041841,1.2552301255230125,105.99000000000001,2.743482089505299,290.7816666666667,2025-00
CMP-0470,2025-01-01,Summer Launch - Email,Email,Mumbai,Families,Awareness,397.78,4875,443,73,10,1401.19,4.25,9.087179487179489,0.897923250564334,2.2573363431151243,39.778,3.5225250138267388,140.119,2025-00
CMP-0227,2025-01-02,Corporate Outreach - Meta Ads,Meta Ads,Mumbai,Corporate Buyers,Sponsorship,751.35,21514,630,129,7,1421.22,4.63,2.9283257413777077,1.1926190476190477,1.1111111111111112,107.33571428571429,1.89155520063885,203.03142857142856,2025-00
CMP-0201,2025-01-03,Corporate Outreach - Google Search,Google Search,Melbourne,Families,Lead Generation,1574.71,47698,2145,348,50,9835.97,3.89,4.497043901211791,0.7341305361305361,2.331002331002331,31.4942,6.246210413345949,196.71939999999998,2025-00
CMP-0331,2025-01-03,Summer Launch - Google Search,Google Search,Brisbane,Music Enthusiasts,Ticket Sales,922.29,15101,850,150,11,3384.19,3.55,5.628766306867094,1.0850470588235295,1.2941176470588236,83.84454545454545,3.6693339405176246,307.6536363636364,2025-00
CMP-0415,2025-01-03,VIP Upgrade - LinkedIn Ads,LinkedIn Ads,Sydney,Music Enthusiasts,Ticket Sales,916.41,17130,233,39,5,1058.71,4.06,1.3601868067717455,3.9330901287553646,2.1459227467811157,183.28199999999998,1.1552798419921215,211.74200000000002,2025-00
CMP-0325,2025-01-04,Festival Push - Meta Ads,Meta Ads,Bangalore,Students,Lead Generation,931.0,20843,548,93,9,1566.0,4.15,2.6291800604519504,1.698905109489051,1.6423357664233578,103.44444444444444,1.682062298603652,174.0,2025-00
CMP-0034,2025-01-05,Weekend Boost - Google Search,Google Search,Bangalore,Corporate Buyers,Ticket Sales,1708.34,23218,935,115,26,9361.38,4.38,4.027047980015505,1.8271016042780748,2.7807486631016043,65.70538461538462,5.479810810494397,360.0530769230769,2025-01
CMP-0252,2025-01-05,Corporate Outreach - Meta Ads,Meta Ads,Melbourne,Corporate Buyers,Lead Generation,364.57,5363,130,19,2,529.13,4.51,2.424016408726459,2.8043846153846155,1.5384615384615385,182.285,1.4513810790794635,264.565,2025-01
CMP-0193,2025-01-07,Weekend Boost - Meta Ads,Meta Ads,Sydney,Music Enthusiasts,Sponsorship,1145.95,27873,712,116,16,3895.03,4.05,2.5544433681340366,1.6094803370786517,2.247191011235955,71.621875,3.398952833893276,243.439375,2025-01
CMP-0371,2025-01-07,Weekend Boost - Google Search,Google Search,Melbourne,Premium Experience Seekers,Awareness,1016.07,23999,1509,308,22,10024.23,4.63,6.28776199008292,0.6733399602385686,1.4579191517561298,46.185,9.865688387611089,455.64681818181816,2025-01
CMP-0174,2025-01-08,Festival Push - Meta Ads,Meta Ads,Brisbane,Corporate Buyers,Ticket Sales,1034.44,17514,404,53,6,1665.85,4.28,2.306726047733242,2.5604950495049508,1.4851485148514851,172.40666666666667,1.6103882293801475,277.64166666666665,2025-01
CMP-0241,2025-01-08,Festival Push - Meta Ads,Meta Ads,Bangalore,Music Enthusiasts,Awareness,1185.74,25571,641,79,7,1858.8,3.78,2.50674592311603,1.8498283931357253,1.0920436817472698,169.39142857142858,1.5676286538364228,265.54285714285714,2025-01
CMP-0509,2025-01-08,Early Bird - Meta Ads,Meta Ads,Melbourne,Students,Ticket Sales,1092.61,19797,400,81,9,1271.91,4.07,2.020508157801687,2.7315249999999995,2.25,121.4011111111111,1.1641024702318303,141.32333333333335,2025-01
CMP-0074,2025-01-09,VIP Upgrade - Google Search,Google Search,Melbourne,Music Enthusiasts,Sponsorship,1916.77,38608,2641,466,101,31012.14,5.0,6.840551181102363,0.7257743279060962,3.824308973873533,18.977920792079207,16.179374677191316,307.0508910891089,2025-01
CMP-0169,2025-01-09,Last Mile Sales - Email,Email,Sydney,Premium Experience Seekers,Sponsorship,385.63,5060,431,64,28,4891.32,4.76,8.517786561264822,0.8947331786542924,6.496519721577726,13.772499999999999,12.683971682701035,174.69,2025-01
CMP-0237,2025-01-10,Summer Launch - Influencer,Influencer,Mumbai,Families,Lead Generation,1012.41,21102,633,122,2,403.14,4.16,2.9997156667614444,1.5993838862559242,0.315955766192733,506.205,0.3981983583725961,201.57,2025-01
CMP-0273,2025-01-10,VIP Upgrade - Retargeting,Retargeting,Melbourne,Music Enthusiasts,Awareness,911.43,24119,1952,370,71,14407.2,4.15,8.093204527550894,0.466921106557377,3.637295081967213,12.837042253521126,15.807247951022022,202.91830985915493,2025-01
CMP-0506,2025-01-10,Weekend Boost - Email,Email,Melbourne,Premium Experience Seekers,Retargeting,331.87,5990,714,125,35,11000.88,4.4,11.919866444073456,0.46480392156862743,4.901960784313726,9.482,33.14816042426251,314.3108571428571,2025-01
CMP-0118,2025-01-14,Early Bird - Email,Email,Sydney,Students,Ticket Sales,272.81,4329,563,107,20,3448.32,4.16,13.005313005313004,0.4845648312611012,3.5523978685612785,13.6405,12.640005864887652,172.416,2025-02
CMP-0213,2025-01-14,Summer Launch - Email,Email,Melbourne,Premium Experience Seekers,Lead Generation,329.18,6264,476,69,17,5149.74,4.15,7.598978288633461,0.6915546218487395,3.571428571428571,19.363529411764706,15.644146059906433,302.9258823529412,2025-02
CMP-0246,2025-01-14,Festival Push - Meta Ads,Meta Ads,Brisbane,Corporate Buyers,Retargeting,1453.65,17934,508,66,6,1368.15,4.05,2.8326084532173526,2.861515748031496,1.1811023622047243,242.275,0.9411825405014962,228.025,2025-02
CMP-0398,2025-01-15,VIP Upgrade - Google Search,Google Search,Melbourne,Young Professionals,Ticket Sales,1355.25,21106,1233,267,43,6740.03,3.86,5.841940680375249,1.0991484184914841,3.4874290348742907,31.517441860465116,4.973274303634016,156.74488372093023,2025-02
