campaign_name,channel,city,audience_segment,total_revenue_aud,total_spend_aud,roas,conversions
Early Bird - Google Search,Google Search,Bangalore,Corporate Buyers,38339.88,2522.2,15.2,149
Last Mile Sales - Retargeting,Retargeting,Bangalore,Premium Experience Seekers,37920.18,1162.07,32.63,111
Early Bird - Google Search,Google Search,Melbourne,Students,37280.63,3993.56,9.34,171
Last Mile Sales - Retargeting,Retargeting,Bangalore,Corporate Buyers,36269.97,940.35,38.57,114
Weekend Boost - Google Search,Google Search,Bangalore,Premium Experience Seekers,34435.97,1506.45,22.86,81
Weekend Boost - Google Search,Google Search,Melbourne,Premium Experience Seekers,34147.56,4612.65,7.4,93
VIP Upgrade - Google Search,Google Search,Bangalore,Music Enthusiasts,32361.77,1522.87,21.25,90
Weekend Boost - Google Search,Google Search,Melbourne,Corporate Buyers,31797.98,2550.07,12.47,86
VIP Upgrade - Google Search,Google Search,Melbourne,Music Enthusiasts,31012.14,1916.77,16.18,101
Corporate Outreach - Retargeting,Retargeting,Melbourne,Music Enthusiasts,29826.03,773.57,38.56,104
