year_week,spend_aud,revenue_aud,conversions,roas
2025-00,8202.39,30302.48,126,3.69
2025-01,10032.92,80430.5,297,8.02
2025-02,7435.68,39015.93,200,5.25
2025-03,3519.14,17807.42,85,5.06
2025-04,4740.53,16536.28,70,3.49
2025-05,11797.8,47397.52,174,4.02
2025-06,8650.77,39508.01,159,4.57
2025-07,14800.15,77918.33,253,5.26
2025-08,18610.66,72335.69,271,3.89
2025-09,13146.61,85867.84,305,6.53
2025-10,14844.26,127204.54,503,8.57
2025-11,6918.02,49164.28,180,7.11
2025-12,12752.8,75027.17,276,5.88
2025-13,9744.0,97300.85,328,9.99
2025-14,8119.75,27882.42,102,3.43
2025-15,8953.45,54169.95,215,6.05
2025-16,9363.74,55235.9,224,5.9
2025-17,16580.71,91887.44,314,5.54
2025-18,5436.61,24165.76,132,4.45
2025-19,6326.76,32373.97,110,5.12
2025-20,4320.04,9477.43,58,2.19
2025-21,4827.14,27803.38,140,5.76
2025-22,5389.72,63681.29,188,11.82
2025-23,7469.78,38042.53,181,5.09
2025-24,10853.47,108794.74,416,10.02
2025-25,6782.97,42639.58,179,6.29
2025-26,9101.35,81456.99,354,8.95
2025-27,8812.1,49586.48,183,5.63
2025-28,13055.61,57422.15,216,4.4
2025-29,15055.77,79075.92,320,5.25
2025-30,5574.78,28904.82,163,5.18
2025-31,6251.54,43784.89,164,7.0
2025-32,10529.49,77474.82,233,7.36
2025-33,4163.48,21837.96,108,5.25
2025-34,6121.34,28620.05,86,4.68
2025-35,11982.29,67747.67,281,5.65
2025-36,5255.2,36126.18,137,6.87
2025-37,8916.22,56613.04,187,6.35
2025-38,6766.83,32512.91,168,4.8
2025-39,13055.62,81628.74,254,6.25
2025-40,8595.65,34605.59,154,4.03
2025-41,12891.27,67249.89,289,5.22
2025-42,4248.49,21931.45,67,5.16
2025-43,9958.68,100324.7,330,10.07
2025-44,14957.94,68955.63,276,4.61
2025-45,12074.54,64695.04,281,5.36
2025-46,11606.58,37129.3,167,3.2
2025-47,8484.76,52307.45,183,6.16
2025-48,10031.69,36646.22,180,3.65
2025-49,13628.28,88665.29,310,6.51
2025-50,4315.4,15484.15,86,3.59
2025-51,6399.04,28287.94,161,4.42
2025-52,3521.36,29265.56,93,8.31
