year_week,spend_aud,revenue_aud,conversions,roas
2025-00,6129.4800000000005,20411.97,98,3.3301307778147575
2025-01,12105.83,90321.01,325,7.460951458925162
2025-02,6586.49,35540.51,187,5.395971146999389
2025-03,3296.02,15548.77,87,4.7174380009830035
2025-04,5621.62,22112.66,80,3.9335031538951406
2025-05,10656.67,42322.259999999995,162,3.9714338531642617
2025-06,9983.12,44740.96,172,4.481661043842005
2025-07,14800.15,77918.33,253,5.264698668594575
2025-08,18610.66,72335.69,271,3.8867880021450074
2025-09,10831.72,72442.19,251,6.687967377295573
2025-10,15090.02,134488.28,510,8.912399055799794
2025-11,8987.15,55306.19,227,6.153918650517684
2025-12,12752.8,75027.17,276,5.883191926478891
2025-13,8287.81,88147.40000000001,283,10.635789189182669
2025-14,8900.59,36129.57,142,4.059233151959589
2025-15,8106.83,53535.899999999994,216,6.603801979318672
2025-16,10885.71,56776.25,228,5.215668063911312
2025-17,12143.53,66606.14,216,5.4849076010023445
2025-18,9873.789999999999,49447.06,230,5.007910842746301
2025-19,5769.63,31071.39,106,5.38533493482251
2025-20,3830.19,9168.88,49,2.393844691777692
2025-21,5481.83,22931.84,107,4.183245376087912
2025-22,5493.21,66381.25,217,12.084236721334156
2025-23,5452.389999999999,33759.8,155,6.191743437281634
2025-24,11881.27,98996.3,376,8.332131161062748
2025-25,7147.34,57832.47,252,8.091467594937416
2025-26,8541.1,78166.20999999999,344,9.151773190806804
2025-27,10286.37,55548.25,203,5.400180044077745
2025-28,9201.71,33613.71,144,3.6529851516728957
2025-29,17127.55,93517.93,362,5.460087986898301
2025-30,6266.18,37177.4,190,5.9330245859518875
2025-31,7342.26,44878.740000000005,167,6.112387738925072
2025-32,10529.49,77474.82,233,7.357889128533292
2025-33,4163.48,21837.96,108,5.245121869205569
2025-34,3695.67,12502.99,50,3.383145681297302
2025-35,10802.81,68324.36,274,6.324684040541304
2025-36,7337.07,31851.87,92,4.341224766834717
2025-37,8471.25,56453.07,207,6.664077910579903
2025-38,8337.26,51352.74,227,6.159426478243451
2025-39,11861.279999999999,63621.009999999995,201,5.363755850970553
2025-40,7446.01,44285.159999999996,155,5.947502085009286
2025-41,13132.0,53483.100000000006,294,4.072730734084679
2025-42,6749.5599999999995,45161.22,123,6.690987264355011
2025-43,5899.98,75874.07,264,12.860055457815113
2025-44,16510.72,88881.78,324,5.383277046670284
2025-45,12886.3,56263.770000000004,219,4.366169497838791
2025-46,10964.24,40438.73,211,3.688238309267218
2025-47,9536.13,51000.64,173,5.348148567605517
2025-48,9784.369999999999,45106.700000000004,210,4.610077092342175
2025-49,10660.17,53637.88,241,5.031615818509461
2025-50,8815.96,53004.21,171,6.012301553092347
2025-51,5499.88,27543.82,157,5.008076539851778
2025-52,4420.52,30009.68,97,6.788721688851084
